"","state","origin","etnia","2015","2016","2017","2018","2019"
"461","Missouri",1,5,14090,14480,15088,15758,16492
"462","Missouri",1,6,240070,246810,254166,260898,266890
"463","Missouri",2,1,413848,424330,435882,446954,457352
"464","Missouri",2,2,24950,25638,26180,27152,27754
"465","Missouri",2,3,15164,15892,16628,16910,17482
"466","Missouri",2,4,4808,4878,5078,5102,5190
"467","Missouri",2,5,2756,2884,2974,3100,3222
"468","Missouri",2,6,23026,23944,24690,25548,26416
"469","Montana",0,1,1839666,1855628,1873704,1887498,1900422
"470","Montana",0,2,11382,11870,12392,12520,12778
"471","Montana",0,3,137400,139190,141126,141752,142192
"472","Montana",0,4,17162,17960,18526,19084,19666
"473","Montana",0,5,1718,1784,1810,1798,1840
"474","Montana",0,6,53622,55286,57406,58678,60658
"475","Montana",1,1,1783716,1797412,1812444,1824108,1835422
"476","Montana",1,2,10286,10726,11176,11266,11532
"477","Montana",1,3,126550,127784,128952,129540,129906
"478","Montana",1,4,16406,17234,17762,18272,18824
"479","Montana",1,5,1418,1462,1500,1488,1534
"480","Montana",1,6,48024,49480,51100,52092,53760
"481","Montana",2,1,55950,58216,61260,63390,65000
"482","Montana",2,2,1096,1144,1216,1254,1246
"483","Montana",2,3,10850,11406,12174,12212,12286
"484","Montana",2,4,756,726,764,812,842
"485","Montana",2,5,300,322,310,310,306
"486","Montana",2,6,5598,5806,6306,6586,6898
"487","Nebraska",0,1,3368820,3381992,3391750,3400306,3408258
"488","Nebraska",0,2,187978,192446,195206,198528,201526
"489","Nebraska",0,3,54476,56096,57348,57866,58570
"490","Nebraska",0,4,88748,95250,99368,103162,106374
"491","Nebraska",0,5,4384,4492,4500,4600,4698
"492","Nebraska",0,6,78148,80956,83722,86766,89390
"493","Nebraska",1,1,3027212,3029614,3028432,3027504,3026344
"494","Nebraska",1,2,177576,181608,183920,186898,189660
"495","Nebraska",1,3,31412,31858,32048,32376,32666
"496","Nebraska",1,4,85698,92126,96214,99882,102992
"497","Nebraska",1,5,2256,2332,2360,2390,2458
"498","Nebraska",1,6,66002,68398,70696,73222,75406
"499","Nebraska",2,1,341608,352378,363318,372802,381914
"500","Nebraska",2,2,10402,10838,11286,11630,11866
"501","Nebraska",2,3,23064,24238,25300,25490,25904
"502","Nebraska",2,4,3050,3124,3154,3280,3382
"503","Nebraska",2,5,2128,2160,2140,2210,2240
"504","Nebraska",2,6,12146,12558,13026,13544,13984
"505","Nevada",0,1,4349466,4395300,4441874,4502180,4555104
"506","Nevada",0,2,537078,561918,588084,611988,632606
"507","Nevada",0,3,94296,96638,99172,101694,103892
"508","Nevada",0,4,474782,490130,506504,521348,536332
"509","Nevada",0,5,42796,44588,45964,47488,49170
"510","Nevada",0,6,235460,246552,258212,269984,283208
"511","Nevada",1,1,2919486,2926608,2934112,2952878,2967866
"512","Nevada",1,2,486494,509246,533178,554716,572932
"513","Nevada",1,3,49816,50448,51290,52312,52726
"514","Nevada",1,4,450660,465298,481100,495024,508948
"515","Nevada",1,5,34244,35706,36854,38062,39436
"516","Nevada",1,6,181558,189732,198348,207110,217204
"517","Nevada",2,1,1429980,1468692,1507762,1549302,1587238
"518","Nevada",2,2,50584,52672,54906,57272,59674
"519","Nevada",2,3,44480,46190,47882,49382,51166
"520","Nevada",2,4,24122,24832,25404,26324,27384
"521","Nevada",2,5,8552,8882,9110,9426,9734
"522","Nevada",2,6,53902,56820,59864,62874,66004
"523","New Hampshire",0,1,2505492,2510792,2519186,2524074,2532194
"524","New Hampshire",0,2,40358,42760,44588,46676,48742
"525","New Hampshire",0,3,7616,7766,7928,8136,8228
"526","New Hampshire",0,4,74818,77368,78642,79628,80600
"527","New Hampshire",0,5,1156,1186,1208,1262,1344
"528","New Hampshire",0,6,43260,44742,46022,47154,48314
"529","New Hampshire",1,1,2428978,2430636,2434908,2436228,2440874
"530","New Hampshire",1,2,33610,35538,36908,38530,40108
"531","New Hampshire",1,3,5584,5620,5686,5792,5848
"532","New Hampshire",1,4,74018,76508,77718,78640,79594
"533","New Hampshire",1,5,732,746,722,768,806
"534","New Hampshire",1,6,38800,40020,41080,41982,43014
"535","New Hampshire",2,1,76514,80156,84278,87846,91320
"536","New Hampshire",2,2,6748,7222,7680,8146,8634
"537","New Hampshire",2,3,2032,2146,2242,2344,2380
"538","New Hampshire",2,4,800,860,924,988,1006
"539","New Hampshire",2,5,424,440,486,494,538
"540","New Hampshire",2,6,4460,4722,4942,5172,5300
"541","New Jersey",0,1,12940664,12895406,12863054,12825286,12777608
"542","New Jersey",0,2,2638566,2647008,2655362,2662292,2674914
"543","New Jersey",0,3,104434,104932,106372,108448,110858
"544","New Jersey",0,4,1661008,1693808,1735264,1755418,1773620
"545","New Jersey",0,5,17634,18366,19350,19990,20480
"546","New Jersey",0,6,373592,382134,391648,400616,406900
"547","New Jersey",1,1,10057996,9965218,9878284,9790570,9701990
"548","New Jersey",1,2,2293480,2293784,2294554,2293584,2297128
"549","New Jersey",1,3,25488,25288,25330,25420,25646
"550","New Jersey",1,4,1632098,1664010,1704250,1723350,1740944
"551","New Jersey",1,5,5862,6042,6158,6212,6326
"552","New Jersey",1,6,259592,264648,270344,275376,278658
"553","New Jersey",2,1,2882668,2930188,2984770,3034716,3075618
"554","New Jersey",2,2,345086,353224,360808,368708,377786
"555","New Jersey",2,3,78946,79644,81042,83028,85212
"556","New Jersey",2,4,28910,29798,31014,32068,32676
"557","New Jersey",2,5,11772,12324,13192,13778,14154
"558","New Jersey",2,6,114000,117486,121304,125240,128242
"559","New Mexico",0,1,3445758,3442452,3436332,3432878,3433312
"560","New Mexico",0,2,103572,104946,105728,107322,109544
"561","New Mexico",0,3,449418,453508,457004,457934,459588
"562","New Mexico",0,4,71524,72310,72560,73800,75100
"563","New Mexico",0,5,6418,6430,6590,6664,6682
"564","New Mexico",0,6,101892,103614,105354,106884,109432
"565","New Mexico",1,1,1596296,1582820,1568058,1554594,1545260
"566","New Mexico",1,2,75146,75978,76472,77680,79166
"567","New Mexico",1,3,366312,367788,369432,369192,370466
"568","New Mexico",1,4,61842,62610,62914,64170,65396
"569","New Mexico",1,5,2628,2622,2756,2752,2742
"570","New Mexico",1,6,60374,61096,62176,62878,64744
"571","New Mexico",2,1,1849462,1859632,1868274,1878284,1888052
"572","New Mexico",2,2,28426,28968,29256,29642,30378
"573","New Mexico",2,3,83106,85720,87572,88742,89122
"574","New Mexico",2,4,9682,9700,9646,9630,9704
"575","New Mexico",2,5,3790,3808,3834,3912,3940
"576","New Mexico",2,6,41518,42518,43178,44006,44688
"577","New York",0,1,27674478,27546674,27412078,27268714,27093552
"578","New York",0,2,6909202,6906712,6886770,6864620,6842246
"579","New York",0,3,377844,378842,378330,379130,379496
"580","New York",0,4,3341482,3405294,3451928,3478846,3506398
"581","New York",0,5,51900,52526,53514,53956,54068
"582","New York",0,6,954426,976808,996524,1015436,1031362
"583","New York",1,1,22187132,22020596,21863356,21694504,21510840
"584","New York",1,2,5716096,5701542,5676726,5651464,5627546
"585","New York",1,3,114444,114292,114020,113818,113562
"586","New York",1,4,3265882,3328724,3373844,3399592,3426856
"587","New York",1,5,16982,17234,17556,17694,17966
"588","New York",1,6,653796,669148,683404,696548,708236
"589","New York",2,1,5487346,5526078,5548722,5574210,5582712
"590","New York",2,2,1193106,1205170,1210044,1213156,1214700
"591","New York",2,3,263400,264550,264310,265312,265934
"592","New York",2,4,75600,76570,78084,79254,79542
"593","New York",2,5,34918,35292,35958,36262,36102
"594","New York",2,6,300630,307660,313120,318888,323126
"595","North Carolina",0,1,14285716,14421350,14541656,14673994,14798974
"596","North Carolina",0,2,4450440,4507860,4561522,4613254,4661126
"597","North Carolina",0,3,314858,319290,323794,327692,331194
"598","North Carolina",0,4,563516,594664,625952,647844,668598
"599","North Carolina",0,5,23762,24462,25116,25606,26260
"600","North Carolina",0,6,425000,441950,458426,474840,490016
"601","North Carolina",1,1,12816994,12909526,12984000,13061556,13134204
"602","North Carolina",1,2,4296082,4346260,4392696,4438034,4481218
"603","North Carolina",1,3,228088,229682,231298,232902,234438
"604","North Carolina",1,4,543948,573850,604086,625372,645910
"605","North Carolina",1,5,12548,12990,13358,13672,13934
"606","North Carolina",1,6,361008,374826,388818,402482,414804
"607","North Carolina",2,1,1468722,1511824,1557656,1612438,1664770
"608","North Carolina",2,2,154358,161600,168826,175220,179908
"609","North Carolina",2,3,86770,89608,92496,94790,96756
"610","North Carolina",2,4,19568,20814,21866,22472,22688
"611","North Carolina",2,5,11214,11472,11758,11934,12326
"612","North Carolina",2,6,63992,67124,69608,72358,75212
"613","North Dakota",0,1,1333278,1325362,1320106,1321440,1325110
"614","North Dakota",0,2,39152,44440,47206,50230,51968
"615","North Dakota",0,3,83094,83888,84134,84492,84930
"616","North Dakota",0,4,21416,22912,25166,25412,25720
"617","North Dakota",0,5,962,966,1006,1098,1230
"618","North Dakota",0,6,30230,31300,32266,33488,35166
"619","North Dakota",1,1,1291838,1282302,1275398,1274424,1275026
"620","North Dakota",1,2,37504,42604,45238,48172,49732
"621","North Dakota",1,3,76932,77410,77502,77854,78422
"622","North Dakota",1,4,20870,22264,24486,24738,25122
"623","North Dakota",1,5,808,812,824,898,1048
"624","North Dakota",1,6,27444,28322,29220,30224,31710
"625","North Dakota",2,1,41440,43060,44708,47016,50084
"626","North Dakota",2,2,1648,1836,1968,2058,2236
"627","North Dakota",2,3,6162,6478,6632,6638,6508
"628","North Dakota",2,4,546,648,680,674,598
"629","North Dakota",2,5,154,154,182,200,182
"630","North Dakota",2,6,2786,2978,3046,3264,3456
"631","Ohio",0,1,19198482,19166330,19153076,19129876,19105472
"632","Ohio",0,2,2962796,2987226,3011002,3033306,3051140
"633","Ohio",0,3,63974,64934,65978,67164,68020
"634","Ohio",0,4,499750,525550,549776,567516,582956
"635","Ohio",0,5,12376,12722,13040,13596,14110
"636","Ohio",0,6,497676,511978,526428,541224,556502
"637","Ohio",1,1,18518452,18465240,18427944,18380620,18338184
"638","Ohio",1,2,2885076,2906496,2927636,2946890,2962704
"639","Ohio",1,3,44188,44678,45058,45562,45888
"640","Ohio",1,4,492572,518046,541950,559460,574510
"641","Ohio",1,5,8218,8506,8766,9214,9648
"642","Ohio",1,6,454726,467520,480218,492760,506342
"643","Ohio",2,1,680030,701090,725132,749256,767288
"644","Ohio",2,2,77720,80730,83366,86416,88436
"645","Ohio",2,3,19786,20256,20920,21602,22132
"646","Ohio",2,4,7178,7504,7826,8056,8446
"647","Ohio",2,5,4158,4216,4274,4382,4462
"648","Ohio",2,6,42950,44458,46210,48464,50160
"649","Oklahoma",0,1,5844986,5854496,5846562,5845430,5854708
"650","Oklahoma",0,2,604892,608544,610236,612308,615638
"651","Oklahoma",0,3,720370,728444,735650,739616,742208
"652","Oklahoma",0,4,174246,178370,180702,184026,188506
"653","Oklahoma",0,5,14258,14744,15218,16120,17162
"654","Oklahoma",0,6,460248,468064,474264,482970,495720
"655","Oklahoma",1,1,5201686,5190742,5167286,5151056,5144776
"656","Oklahoma",1,2,579140,582036,583040,584418,586916
"657","Oklahoma",1,3,648932,653722,657652,660038,661470
"658","Oklahoma",1,4,169010,172968,175212,178312,182572
"659","Oklahoma",1,5,11442,11916,12388,13224,14182
"660","Oklahoma",1,6,417604,424296,429282,436516,447806
"661","Oklahoma",2,1,643300,663754,679276,694374,709932
"662","Oklahoma",2,2,25752,26508,27196,27890,28722
"663","Oklahoma",2,3,71438,74722,77998,79578,80738
"664","Oklahoma",2,4,5236,5402,5490,5714,5934
"665","Oklahoma",2,5,2816,2828,2830,2896,2980
"666","Oklahoma",2,6,42644,43768,44982,46454,47914
"667","Oregon",0,1,7039388,7142264,7216774,7265252,7310272
"668","Oregon",0,2,167886,174168,178776,183284,187480
"669","Oregon",0,3,144072,147088,149766,152208,154230
"670","Oregon",0,4,352620,375606,389666,399762,409478
"671","Oregon",0,5,34362,35842,36754,37724,38490
"672","Oregon",0,6,293256,304984,315514,325542,335524
"673","Oregon",1,1,6163744,6238814,6283938,6309008,6330968
"674","Oregon",1,2,148116,153674,157814,161676,165220
"675","Oregon",1,3,89968,91420,92362,93416,94314
"676","Oregon",1,4,342576,364992,378616,388208,397394
"677","Oregon",1,5,30602,31892,32736,33568,34148
"678","Oregon",1,6,245860,255402,263890,271768,279736
"679","Oregon",2,1,875644,903450,932836,956244,979304
"680","Oregon",2,2,19770,20494,20962,21608,22260
"681","Oregon",2,3,54104,55668,57404,58792,59916
"682","Oregon",2,4,10044,10614,11050,11554,12084
"683","Oregon",2,5,3760,3950,4018,4156,4342
"684","Oregon",2,6,47396,49582,51624,53774,55788
"685","Pennsylvania",0,1,21119246,21046590,20990060,20950658,20894124
"686","Pennsylvania",0,2,2996410,3018200,3039818,3062546,3080184
"687","Pennsylvania",0,3,91768,94532,96844,99356,101374
"688","Pennsylvania",0,4,859876,887152,914540,938964,963754
"689","Pennsylvania",0,5,17766,18272,18870,19560,19988
"690","Pennsylvania",0,6,484586,499804,515150,530760,544554
"691","Pennsylvania",1,1,19801530,19684932,19579454,19481300,19387156
"692","Pennsylvania",1,2,2746340,2758000,2769194,2780444,2789260
"693","Pennsylvania",1,3,36366,36836,37142,37468,37692
"694","Pennsylvania",1,4,842046,868404,895076,918882,943118
"695","Pennsylvania",1,5,7388,7440,7638,7870,7872
"696","Pennsylvania",1,6,398898,408706,418686,428558,438580
"697","Pennsylvania",2,1,1317716,1361658,1410606,1469358,1506968
"698","Pennsylvania",2,2,250070,260200,270624,282102,290924
"699","Pennsylvania",2,3,55402,57696,59702,61888,63682
"700","Pennsylvania",2,4,17830,18748,19464,20082,20636
"701","Pennsylvania",2,5,10378,10832,11232,11690,12116
"702","Pennsylvania",2,6,85688,91098,96464,102202,105974
"703","Rhode Island",0,1,1790022,1784618,1777934,1775436,1771036
"704","Rhode Island",0,2,167048,170280,172892,176756,180216
"705","Rhode Island",0,3,21224,21750,22214,22680,22906
"706","Rhode Island",0,4,74406,75898,75878,77670,79072
"707","Rhode Island",0,5,3740,3836,4018,4176,4250
"708","Rhode Island",0,6,55690,57158,58410,59856,61242
"709","Rhode Island",1,1,1558750,1546548,1533938,1522704,1511862
"710","Rhode Island",1,2,121860,123718,125216,127698,129932
"711","Rhode Island",1,3,9086,9106,9034,9128,9200
"712","Rhode Island",1,4,71604,72990,72826,74522,75844
"713","Rhode Island",1,5,1314,1332,1310,1322,1318
"714","Rhode Island",1,6,41720,42768,43626,44480,45278
"715","Rhode Island",2,1,231272,238070,243996,252732,259174
"716","Rhode Island",2,2,45188,46562,47676,49058,50284
"717","Rhode Island",2,3,12138,12644,13180,13552,13706
"718","Rhode Island",2,4,2802,2908,3052,3148,3228
"719","Rhode Island",2,5,2426,2504,2708,2854,2932
"720","Rhode Island",2,6,13970,14390,14784,15376,15964
"721","South Carolina",0,1,6691526,6786376,6879312,6970210,7064096
"722","South Carolina",0,2,2702720,2723456,2740678,2757780,2776034
"723","South Carolina",0,3,52674,53680,54640,55390,56472
"724","South Carolina",0,4,154622,162634,170904,179414,188222
"725","South Carolina",0,5,9344,9534,9534,9866,10130
"726","South Carolina",0,6,172990,180256,187468,195652,202474
"727","South Carolina",1,1,6251424,6332166,6407946,6480070,6555084
"728","South Carolina",1,2,2655054,2674054,2689004,2704074,2720684
"729","South Carolina",1,3,35992,36582,37094,37418,37976
"730","South Carolina",1,4,149760,157592,165700,174116,182750
"731","South Carolina",1,5,5672,5858,5896,6052,6202
"732","South Carolina",1,6,154810,161272,167538,174686,180496
"733","South Carolina",2,1,440102,454210,471366,490140,509012
"734","South Carolina",2,2,47666,49402,51674,53706,55350
"735","South Carolina",2,3,16682,17098,17546,17972,18496
"736","South Carolina",2,4,4862,5042,5204,5298,5472
"737","South Carolina",2,5,3672,3676,3638,3814,3928
"738","South Carolina",2,6,18180,18984,19930,20966,21978
"739","South Dakota",0,1,1458658,1467036,1477796,1486526,1496140
"740","South Dakota",0,2,31682,35108,38752,39722,40664
"741","South Dakota",0,3,155920,157886,159404,160372,160008
"742","South Dakota",0,4,22622,25180,27540,27292,27398
"743","South Dakota",0,5,1186,1264,1396,1476,1574
"744","South Dakota",0,6,37908,39518,40848,42008,43534
"745","South Dakota",1,1,1414114,1420208,1427476,1434152,1442106
"746","South Dakota",1,2,30324,33702,37218,38100,38894
"747","South Dakota",1,3,144254,145246,146072,146892,146954
"748","South Dakota",1,4,22192,24680,26998,26692,26786
"749","South Dakota",1,5,786,838,922,990,1050
"750","South Dakota",1,6,34056,35434,36556,37572,38826
"751","South Dakota",2,1,44544,46828,50320,52374,54034
"752","South Dakota",2,2,1358,1406,1534,1622,1770
"753","South Dakota",2,3,11666,12640,13332,13480,13054
"754","South Dakota",2,4,430,500,542,600,612
"755","South Dakota",2,5,400,426,474,486,524
"756","South Dakota",2,6,3852,4084,4292,4436,4708
"757","Tennessee",0,1,10390774,10463684,10546258,10631376,10708810
"758","Tennessee",0,2,2252834,2271058,2293568,2312908,2328922
"759","Tennessee",0,3,58794,60234,61910,63690,65322
"760","Tennessee",0,4,230622,238348,247150,257912,268152
"761","Tennessee",0,5,12096,12412,12594,12702,13156
"762","Tennessee",0,6,237220,246284,256118,264674,273986
"763","Tennessee",1,1,9812548,9865492,9923902,9983858,10039080
"764","Tennessee",1,2,2212348,2229542,2250050,2268154,2283580
"765","Tennessee",1,3,35582,36344,37184,38224,39394
"766","Tennessee",1,4,223646,231014,239610,250232,260286
"767","Tennessee",1,5,6558,6834,7056,7178,7524
"768","Tennessee",1,6,213536,221538,230100,237788,245720
"769","Tennessee",2,1,578226,598192,622356,647518,669730
"770","Tennessee",2,2,40486,41516,43518,44754,45342
"771","Tennessee",2,3,23212,23890,24726,25466,25928
"772","Tennessee",2,4,6976,7334,7540,7680,7866
"773","Tennessee",2,5,5538,5578,5538,5524,5632
"774","Tennessee",2,6,23684,24746,26018,26886,28266
"775","Texas",0,1,43802748,44345158,44785164,45172276,45612260
"776","Texas",0,2,6876254,7038630,7190608,7330344,7478442
"777","Texas",0,3,550704,559690,567708,578068,589804
"778","Texas",0,4,2599784,2724930,2840702,2928876,3020940
"779","Texas",0,5,74946,77742,80460,83292,86424
"780","Texas",0,6,1035676,1082670,1125904,1164476,1203892
"781","Texas",1,1,23634182,23734422,23793558,23828668,23901548
"782","Texas",1,2,6461518,6607954,6743686,6868016,7003220
"783","Texas",1,3,178240,180954,183132,185488,188336
"784","Texas",1,4,2505764,2628104,2741006,2825954,2915098
"785","Texas",1,5,44540,46164,47636,49668,51722
"786","Texas",1,6,759504,793536,824214,851732,880682
"787","Texas",2,1,20168566,20610736,20991606,21343608,21710712
"788","Texas",2,2,414736,430676,446922,462328,475222
"789","Texas",2,3,372464,378736,384576,392580,401468
"790","Texas",2,4,94020,96826,99696,102922,105842
"791","Texas",2,5,30406,31578,32824,33624,34702
"792","Texas",2,6,276172,289134,301690,312744,323210
"793","Utah",0,1,5449396,5546840,5641524,5726202,5808264
"794","Utah",0,2,78642,82800,87428,90946,95074
"795","Utah",0,3,91576,93566,95664,97330,99440
"796","Utah",0,4,142082,149388,157810,164202,171454
"797","Utah",0,5,59882,62096,63766,66084,67958
"798","Utah",0,6,142092,149046,155892,162336,169726
"799","Utah",1,1,4726868,4798912,4866800,4927922,4987518
"800","Utah",1,2,61962,65498,69720,72708,76112
"801","Utah",1,3,57318,58074,58848,59610,60802
"802","Utah",1,4,135030,142102,150264,156380,163292
"803","Utah",1,5,55296,57334,58822,60972,62786
"804","Utah",1,6,114542,120196,125926,131208,137304
"805","Utah",2,1,722528,747928,774724,798280,820746
"806","Utah",2,2,16680,17302,17708,18238,18962
"807","Utah",2,3,34258,35492,36816,37720,38638
"808","Utah",2,4,7052,7286,7546,7822,8162
"809","Utah",2,5,4586,4762,4944,5112,5172
"810","Utah",2,6,27550,28850,29966,31128,32422
"811","Vermont",0,1,1185610,1180558,1179336,1178294,1176204
"812","Vermont",0,2,15672,16102,16634,17004,17548
"813","Vermont",0,3,4730,4768,4848,4872,4882
"814","Vermont",0,4,21146,22052,23598,23674,23928
"815","Vermont",0,5,428,462,480,500,494
"816","Vermont",0,6,22846,23372,23792,24372,24922
"817","Vermont",1,1,1166910,1161208,1159146,1157502,1155078
"818","Vermont",1,2,14630,15010,15522,15828,16304
"819","Vermont",1,3,4016,4034,4092,4136,4116
"820","Vermont",1,4,20844,21732,23262,23354,23626
"821","Vermont",1,5,350,372,378,400,394
"822","Vermont",1,6,21280,21706,22022,22488,23022
"823","Vermont",2,1,18700,19350,20190,20792,21126
"824","Vermont",2,2,1042,1092,1112,1176,1244
"825","Vermont",2,3,714,734,756,736,766
"826","Vermont",2,4,302,320,336,320,302
"827","Vermont",2,5,78,90,102,100,100
"828","Vermont",2,6,1566,1666,1770,1884,1900
"829","Virginia",0,1,11764342,11787072,11817114,11832786,11845296
"830","Virginia",0,2,3302548,3325812,3351718,3373768,3393822
"831","Virginia",0,3,88146,89528,90508,91722,93204
"832","Virginia",0,4,1073414,1106156,1138452,1159316,1179420
"833","Virginia",0,5,18492,18916,19354,19836,20184
"834","Virginia",0,6,476674,492728,510028,525144,539112
"835","Virginia",1,1,10514534,10499994,10490398,10472180,10455808
"836","Virginia",1,2,3188120,3207650,3229458,3247226,3264452
"837","Virginia",1,3,43894,44276,44720,45194,45588
"838","Virginia",1,4,1054508,1086094,1117202,1137254,1157008
"839","Virginia",1,5,11914,12152,12376,12848,13082
"840","Virginia",1,6,415336,428870,442896,454778,466256
"841","Virginia",2,1,1249808,1287078,1326716,1360606,1389488
"842","Virginia",2,2,114428,118162,122260,126542,129370
"843","Virginia",2,3,44252,45252,45788,46528,47616
"844","Virginia",2,4,18906,20062,21250,22062,22412
"845","Virginia",2,5,6578,6764,6978,6988,7102
"846","Virginia",2,6,61338,63858,67132,70366,72856
"847","Washington",0,1,11503238,11654712,11790924,11881100,11955392
"848","Washington",0,2,585478,605606,626358,645778,663848
"849","Washington",0,3,275322,281192,287442,290768,293598
"850","Washington",0,4,1212088,1269192,1334270,1395988,1455972
"851","Washington",0,5,104016,108538,112860,116842,120698
"852","Washington",0,6,647172,670302,694870,717262,740278
"853","Washington",1,1,10016764,10113452,10200030,10248102,10281178
"854","Washington",1,2,536658,554860,573698,591868,608448
"855","Washington",1,3,186510,188198,190360,191734,193012
"856","Washington",1,4,1183916,1239902,1303816,1364258,1423252
"857","Washington",1,5,94134,98260,102206,105828,109266
"858","Washington",1,6,554704,573606,593850,612238,631188
"859","Washington",2,1,1486474,1541260,1590894,1632998,1674214
"860","Washington",2,2,48820,50746,52660,53910,55400
"861","Washington",2,3,88812,92994,97082,99034,100586
"862","Washington",2,4,28172,29290,30454,31730,32720
"863","Washington",2,5,9882,10278,10654,11014,11432
"864","Washington",2,6,92468,96696,101020,105024,109090
"865","West Virginia",0,1,3452860,3429114,3400816,3374738,3350244
"866","West Virginia",0,2,130924,130454,129808,129552,129220
"867","West Virginia",0,3,8852,8986,9032,9058,9170
"868","West Virginia",0,4,30124,30828,30398,29902,29406
"869","West Virginia",0,5,996,1030,1056,1038,1060
"870","West Virginia",0,6,60344,61634,62898,64294,65194
"871","West Virginia",1,1,3405434,3380216,3350928,3323050,3297024
"872","West Virginia",1,2,127542,127036,126276,126002,125550
"873","West Virginia",1,3,7598,7660,7656,7656,7672
"874","West Virginia",1,4,29622,30290,29794,29266,28786
"875","West Virginia",1,5,766,770,816,794,822
"876","West Virginia",1,6,57494,58640,59794,61148,62116
"877","West Virginia",2,1,47426,48898,49888,51688,53220
"878","West Virginia",2,2,3382,3418,3532,3550,3670
"879","West Virginia",2,3,1254,1326,1376,1402,1498
"880","West Virginia",2,4,502,538,604,636,620
"881","West Virginia",2,5,230,260,240,244,238
"882","West Virginia",2,6,2850,2994,3104,3146,3078
"883","Wisconsin",0,1,10091966,10091808,10102444,10120256,10135562
"884","Wisconsin",0,2,763588,768508,774866,779304,781086
"885","Wisconsin",0,3,130188,132186,134158,135588,137256
"886","Wisconsin",0,4,321002,331480,341042,345484,350558
"887","Wisconsin",0,5,5938,6202,6486,6630,6838
"888","Wisconsin",0,6,209198,215072,221376,227550,233568
"889","Wisconsin",1,1,9437888,9422592,9418544,9417578,9418130
"890","Wisconsin",1,2,730462,734526,740248,743694,744546
"891","Wisconsin",1,3,101232,102008,102796,103676,104872
"892","Wisconsin",1,4,315444,325762,335212,339486,344410
"893","Wisconsin",1,5,3908,4160,4404,4498,4636
"894","Wisconsin",1,6,181410,186366,191924,196942,201858
"895","Wisconsin",2,1,654078,669216,683900,702678,717432
"896","Wisconsin",2,2,33126,33982,34618,35610,36540
"897","Wisconsin",2,3,28956,30178,31362,31912,32384
"898","Wisconsin",2,4,5558,5718,5830,5998,6148
"899","Wisconsin",2,5,2030,2042,2082,2132,2202
"900","Wisconsin",2,6,27788,28706,29452,30608,31710
"901","Wyoming",0,1,1088870,1085350,1074064,1069948,1070742
"902","Wyoming",0,2,14784,14652,14722,14802,14934
"903","Wyoming",0,3,31660,31692,31536,31722,31556
"904","Wyoming",0,4,11248,11662,12154,12628,13142
"905","Wyoming",0,5,1190,1212,1160,1164,1192
"906","Wyoming",0,6,23474,23862,24226,24938,25952
"907","Wyoming",1,1,988866,984168,973330,968894,968760
"908","Wyoming",1,2,13060,12862,12902,12910,13040
"909","Wyoming",1,3,24734,24676,24434,24578,24396
"910","Wyoming",1,4,10420,10828,11296,11746,12258
"911","Wyoming",1,5,842,862,816,812,824
"912","Wyoming",1,6,19316,19628,19846,20290,21022
"913","Wyoming",2,1,100004,101182,100734,101054,101982
"914","Wyoming",2,2,1724,1790,1820,1892,1894
"915","Wyoming",2,3,6926,7016,7102,7144,7160
"916","Wyoming",2,4,828,834,858,882,884
"917","Wyoming",2,5,348,350,344,352,368
"918","Wyoming",2,6,4158,4234,4380,4648,4930
